,file_name,compile_time,run_time,status
0,00_comment2.c,101.06992721557617,11.04593276977539,AC
1,00_main.c,101.17125511169434,11.721611022949219,AC
2,01_multiple_returns.c,92.23794937133789,11.574983596801758,AC
3,01_var_defn2.c,98.66142272949219,11.341571807861328,AC
4,02_ret_in_block.c,103.76834869384766,12.450218200683594,AC
5,02_var_defn3.c,103.50871086120605,11.307716369628906,AC
6,03_arr_defn2.c,96.77982330322266,12.551069259643555,AC
7,03_branch.c,98.41299057006836,11.76142692565918,AC
8,04_arr_defn3.c,106.3687801361084,12.859106063842773,AC
9,04_break_continue.c,108.54077339172363,11.737585067749023,AC
10,05_arr_defn4.c,115.02313613891602,11.725902557373047,AC
11,05_param_name.c,116.35780334472656,12.013912200927734,AC
12,06_const_var_defn2.c,105.25250434875488,11.803627014160156,AC
13,06_func_name.c,99.31206703186035,11.80577278137207,AC
14,07_arr_init_nd.c,109.41910743713379,11.55710220336914,AC
15,07_const_var_defn3.c,102.61321067810059,11.664867401123047,AC
16,08_const_array_defn.c,91.94374084472656,11.307001113891602,AC
17,08_global_arr_init.c,99.69925880432129,12.434005737304688,AC
18,09_BFS.c,133.50725173950195,30.97224235534668,AC
19,09_func_defn.c,104.05468940734863,11.241912841796875,AC
20,10_DFS.c,128.43847274780273,31.20255470275879,AC
21,10_var_defn_func.c,98.4039306640625,12.3748779296875,AC
22,11_BST.c,130.51533699035645,15.450716018676758,AC
23,11_add2.c,93.14703941345215,11.482954025268555,AC
24,12_DSU.c,129.6219825744629,28.707504272460938,AC
25,12_addc.c,113.81769180297852,11.823415756225586,AC
26,13_LCA.c,145.646333694458,20.460844039916992,AC
27,13_sub2.c,102.04839706420898,11.271953582763672,AC
28,14_dp.c,109.46321487426758,13.997793197631836,AC
29,14_subc.c,103.11222076416016,11.86990737915039,AC
30,15_graph_coloring.c,133.87060165405273,13.507604598999023,AC
31,15_mul.c,104.14385795593262,14.920949935913086,AC
32,16_k_smallest.c,121.0329532623291,14.366388320922852,AC
33,16_mulc.c,102.59723663330078,12.626886367797852,AC
34,17_div.c,106.86302185058594,12.421607971191406,AC
35,17_maximal_clique.c,117.62189865112305,14.198541641235352,AC
36,18_divc.c,103.39140892028809,12.041568756103516,AC
37,18_prim.c,142.8539752960205,19.392728805541992,AC
38,19_mod.c,103.27816009521484,11.552572250366211,AC
39,19_search.c,127.39038467407227,14.864206314086914,AC
40,20_rem.c,112.03837394714355,12.007713317871094,AC
41,20_sort.c,143.64862442016602,20.21193504333496,AC
42,21_if_test2.c,103.3334732055664,14.415740966796875,AC
43,21_union_find.c,119.4608211517334,14.799118041992188,AC
44,22_if_test3.c,96.91452980041504,11.394739151000977,AC
45,22_matrix_multiply.c,111.29546165466309,14.495849609375,AC
46,23_if_test4.c,104.66933250427246,12.210607528686523,AC
47,23_json.c,146.64101600646973,16.45493507385254,AC
48,24_array_only.c,123.43788146972656,14.636754989624023,AC
49,24_if_test5.c,93.49775314331055,11.926412582397461,AC
50,25_scope3.c,96.14825248718262,14.436960220336914,AC
51,25_while_if.c,103.20019721984863,13.683557510375977,AC
52,26_scope4.c,107.12623596191406,13.756752014160156,AC
53,26_while_test1.c,95.00885009765625,11.785745620727539,AC
54,27_scope5.c,100.13008117675781,12.311935424804688,AC
55,27_while_test2.c,107.22470283508301,11.242389678955078,AC
56,28_side_effect2.c,142.27581024169922,14.034509658813477,AC
57,28_while_test3.c,122.64800071716309,11.421918869018555,AC
58,29_break.c,100.77905654907227,11.579036712646484,AC
59,29_long_line.c,232.90777206420898,17.99297332763672,AC
60,30_continue.c,99.63417053222656,11.832952499389648,AC
61,30_many_dimensions.c,1080.430269241333,15.10763168334961,AC
62,31_many_indirections.c,109.13848876953125,13.763904571533203,AC
63,31_while_if_test1.c,119.09294128417969,11.745214462280273,AC
64,32_many_params3.c,207.71384239196777,11.850833892822266,AC
65,32_while_if_test2.c,103.85656356811523,11.346817016601562,AC
66,33_multi_branch.c,102.33426094055176,14.713048934936523,AC
67,33_while_if_test3.c,94.69008445739746,12.186527252197266,AC
68,34_arr_expr_len.c,104.04086112976074,12.175321578979492,AC
69,34_multi_loop.c,115.85617065429688,1925.0919818878174,AC
70,35_math.c,142.82798767089844,16.809701919555664,WA
71,35_op_priority1.c,98.06036949157715,12.889385223388672,AC
72,36_op_priority2.c,101.65238380432129,11.481523513793945,AC
73,36_rotate.c,132.79104232788086,93.17970275878906,WA
74,37_dct.c,151.519775390625,24.08766746520996,WA
75,37_op_priority3.c,98.33955764770508,12.11857795715332,AC
76,38_light2d.c,140.3818130493164,3290.787696838379,WA
77,38_op_priority4.c,102.22983360290527,14.54472541809082,AC
78,39_fp_params.c,220.9911346435547,17.236709594726562,WA
79,39_op_priority5.c,105.16977310180664,13.189554214477539,AC
80,40_unary_op.c,94.8178768157959,11.990547180175781,AC
81,41_unary_op2.c,101.49574279785156,13.138532638549805,AC
82,42_empty_stmt.c,102.87785530090332,17.20452308654785,AC
83,43_logi_assign.c,116.73665046691895,14.392375946044922,AC
84,44_stmt_expr.c,110.61668395996094,13.076066970825195,AC
85,45_comment1.c,104.89082336425781,11.860370635986328,AC
86,46_hex_defn.c,101.80354118347168,11.195898056030273,AC
87,47_hex_oct_add.c,97.41783142089844,11.612176895141602,AC
88,48_assign_complex_expr.c,96.76647186279297,13.265132904052734,AC
89,49_if_complex_expr.c,95.42369842529297,13.576030731201172,AC
90,50_short_circuit.c,112.66684532165527,15.409469604492188,AC
91,51_short_circuit3.c,104.73227500915527,14.304399490356445,AC
